,tpep_pickup_datetime,pickup_longitude,pickup_latitude,in_lat,in_lon
2000096,2016-02-05 23:31:10,-74.00776672363281,40.7149772644043,True,True
2000131,2016-02-05 23:31:15,-74.00508117675781,40.722969055175774,True,True
2000272,2016-02-05 23:31:35,-74.00431060791014,40.72483444213867,True,True
2000324,2016-02-05 23:31:43,-74.00846862792969,40.720157623291016,True,True
2000406,2016-02-05 23:31:53,-74.01019287109375,40.71943283081055,True,True
2000410,2016-02-05 23:31:53,-74.008056640625,40.72335433959961,True,True
2000413,2016-02-05 23:31:53,-74.00523376464844,40.72040939331055,True,True
2000432,2016-02-05 23:31:56,-74.00493621826173,40.718650817871094,True,True
2000453,2016-02-05 23:32:00,-74.00978851318358,40.72151947021485,True,True
2000463,2016-02-05 23:32:03,-74.00458526611328,40.72137069702149,True,True
2000473,2016-02-05 23:32:05,-74.01006317138672,40.71987533569336,True,True
2000478,2016-02-05 23:32:05,-74.00389862060547,40.71696472167969,True,True
2000483,2016-02-05 23:32:06,-74.00881958007811,40.7153205871582,True,True
2000544,2016-02-05 23:32:17,-74.00399780273438,40.72397994995117,True,True
2000629,2016-02-05 23:32:31,-74.00917053222656,40.71654510498047,True,True
2000708,2016-02-05 23:32:42,-74.00442504882812,40.72131729125977,True,True
2000716,2016-02-05 23:32:43,-74.00543212890625,40.72003173828125,True,True
2000721,2016-02-05 23:32:44,-74.00804901123048,40.7234001159668,True,True
2000746,2016-02-05 23:32:48,-74.00790405273438,40.7235221862793,True,True
2000851,2016-02-05 23:33:03,-74.01009368896483,40.72001647949219,True,True
2000879,2016-02-05 23:33:06,-74.0087661743164,40.71920394897461,True,True
2000961,2016-02-05 23:33:21,-74.00581359863281,40.72564315795898,True,True
2000969,2016-02-05 23:33:23,-74.00391387939453,40.72209930419922,True,True
2001030,2016-02-05 23:33:31,-74.00386047363281,40.72383117675781,True,True
2001035,2016-02-05 23:33:32,-74.00276947021484,40.71804809570313,True,True
2001190,2016-02-05 23:33:52,-74.00473022460938,40.72370910644531,True,True
2001209,2016-02-05 23:33:54,-74.0064926147461,40.722618103027344,True,True
2001267,2016-02-05 23:34:03,-74.00999450683594,40.72094345092773,True,True
2001283,2016-02-05 23:34:04,-74.00407409667969,40.72553253173828,True,True
2001325,2016-02-05 23:34:10,-74.00930023193358,40.71899032592773,True,True
2001343,2016-02-05 23:34:13,-74.00340270996094,40.72531127929688,True,True
2001489,2016-02-05 23:34:34,-74.0100326538086,40.71977615356445,True,True
2001538,2016-02-05 23:34:40,-74.00342559814453,40.72063064575195,True,True
2001568,2016-02-05 23:34:44,-74.00895690917969,40.71551132202149,True,True
2001578,2016-02-05 23:34:46,-74.00509643554686,40.71960830688477,True,True
2001625,2016-02-05 23:34:54,-74.00852966308595,40.720458984375,True,True
2001628,2016-02-05 23:34:54,-74.00316619873048,40.72351455688477,True,True
2001655,2016-02-05 23:34:58,-74.009521484375,40.72358703613281,True,True
2001672,2016-02-05 23:35:00,-74.00485229492188,40.71889114379883,True,True
2001715,2016-02-05 23:35:06,-74.00912475585938,40.71670150756836,True,True
2001719,2016-02-05 23:35:07,-74.00370025634766,40.72365188598633,True,True
2001748,2016-02-05 23:35:11,-74.00486755371094,40.71894073486328,True,True
2001756,2016-02-05 23:35:11,-74.00370025634766,40.7222900390625,True,True
2001762,2016-02-05 23:35:12,-74.00741577148438,40.72547912597656,True,True
2001817,2016-02-05 23:35:21,-74.00347900390625,40.72266006469727,True,True
2001827,2016-02-05 23:35:23,-74.00711059570312,40.71467590332031,True,True
2001832,2016-02-05 23:35:24,-74.00436401367188,40.71633911132813,True,True
2001839,2016-02-05 23:35:24,-74.01100158691406,40.715980529785156,True,True
2001851,2016-02-05 23:35:26,-74.00460815429686,40.72361755371094,True,True
2001902,2016-02-05 23:35:35,-74.009033203125,40.71705627441406,True,True
2001927,2016-02-05 23:35:39,-74.01004791259766,40.72071075439453,True,True
2001954,2016-02-05 23:35:45,-74.00452423095702,40.724422454833984,True,True
2001994,2016-02-05 23:35:51,-74.00856018066406,40.719825744628906,True,True
2002019,2016-02-05 23:35:55,-74.00920104980467,40.71696472167969,True,True
2002020,2016-02-05 23:35:55,-74.00682067871094,40.72574234008789,True,True
2002026,2016-02-05 23:35:56,-74.00543975830078,40.719890594482415,True,True
2002040,2016-02-05 23:35:57,-74.00450897216798,40.71621322631836,True,True
2002057,2016-02-05 23:36:00,-74.00482940673827,40.71894073486328,True,True
2002135,2016-02-05 23:36:10,-74.00515747070312,40.72010040283203,True,True
2002155,2016-02-05 23:36:13,-74.00908660888672,40.71694946289063,True,True
2002166,2016-02-05 23:36:15,-74.00988006591797,40.71441650390625,True,True
2002174,2016-02-05 23:36:16,-74.00440979003906,40.71625900268555,True,True
2002244,2016-02-05 23:36:26,-74.00731658935547,40.71628189086913,True,True
2002287,2016-02-05 23:36:32,-74.00902557373048,40.71551132202149,True,True
2002313,2016-02-05 23:36:36,-74.00834655761719,40.72190856933594,True,True
2002462,2016-02-05 23:36:53,-74.01042938232422,40.71841812133789,True,True
2002480,2016-02-05 23:36:55,-74.00511169433594,40.719051361083984,True,True
