tpep_pickup_datetime,pickup_longitude,pickup_latitude
2016-02-01 00:00:06,-74.0051040649414,40.7190055847168
2016-02-01 00:01:03,-74.00318908691406,40.72053909301758
2016-02-01 00:00:28,-74.0040512084961,40.72395324707031
2016-02-01 00:01:12,-74.00389862060547,40.72309875488281
2016-02-19 20:49:52,-74.00994110107422,40.72089385986328
2016-02-19 20:49:53,-74.00702667236328,40.7188606262207
2016-02-19 20:49:56,-74.00202178955078,40.719551086425774
2016-02-19 20:50:06,-74.00430297851562,40.72478866577149
2016-02-19 20:50:11,-74.00621795654298,40.7168083190918
2016-02-19 20:50:23,-74.0090560913086,40.71671676635742
2016-02-19 20:50:24,-74.00898742675781,40.71802520751953
2016-02-19 20:50:27,-74.01097869873048,40.718849182128906
2016-02-19 20:50:33,-74.00855255126955,40.714256286621094
2016-02-19 20:50:36,-74.00321960449219,40.72349548339844
2016-02-07 16:20:13,-74.0027084350586,40.71812438964844
2016-02-07 16:20:36,-74.00656890869139,40.71909713745117
2016-02-07 16:20:44,-74.00194549560547,40.71917724609375
2016-02-19 20:50:53,-74.00992584228516,40.72078323364258
2016-02-19 20:50:53,-74.00833129882812,40.71456146240234
2016-02-19 20:50:54,-74.00856018066406,40.71933364868164
2016-02-19 20:50:54,-74.00453186035155,40.721355438232415
2016-02-19 20:50:56,-74.00405883789062,40.71696472167969
2016-02-19 20:50:57,-74.00850677490234,40.71989822387695
2016-02-19 20:51:13,-74.00838470458984,40.71455383300781
2016-02-19 20:51:15,-74.01058197021484,40.71879577636719
2016-02-19 20:51:27,-74.00526428222656,40.7187728881836
2016-02-19 20:51:37,-74.00733947753906,40.7179069519043
2016-02-19 20:51:39,-74.00888061523438,40.71603012084961
2016-02-19 20:51:46,-74.00875091552734,40.71942901611328
2016-02-19 20:52:11,-74.00685119628906,40.716495513916016
2016-02-19 20:52:13,-74.00977325439453,40.72081756591797
2016-02-19 20:52:13,-74.009521484375,40.71519088745117
2016-02-19 20:52:18,-74.01136779785155,40.714786529541016
2016-02-19 20:52:27,-74.00509643554686,40.72316360473633
2016-02-19 20:52:42,-74.00507354736328,40.72032928466797
2016-02-19 20:52:57,-74.00526428222656,40.719215393066406
2016-02-19 20:53:00,-74.01302337646483,40.71614074707031
2016-02-19 20:53:14,-74.00444030761719,40.72092056274415
2016-02-19 20:53:19,-74.00887298583984,40.71583938598633
2016-02-19 20:53:27,-74.00499725341797,40.72077941894531
2016-02-19 20:53:28,-74.00799560546875,40.71501541137695
2016-02-19 20:53:28,-74.00513458251955,40.72020721435547
2016-02-19 20:53:34,-74.01022338867188,40.71564865112305
2016-02-19 20:53:51,-74.0096664428711,40.720787048339844
2016-02-19 20:53:53,-74.00796508789062,40.71502304077149
2016-02-19 20:54:05,-74.00572204589844,40.71752548217773
2016-02-19 20:54:15,-74.00933837890625,40.71626281738281
2016-02-19 20:54:18,-74.00518035888672,40.720718383789055
2016-02-19 20:54:19,-74.00611877441406,40.717323303222656
2016-02-19 20:54:20,-74.00796508789062,40.72320175170898
2016-02-19 20:54:21,-74.00739288330078,40.715576171875
2016-02-19 20:54:23,-74.00419616699219,40.72185134887695
2016-02-19 20:54:29,-74.00403594970702,40.72528839111328
2016-02-19 20:54:33,-74.00536346435547,40.71803665161133
2016-02-19 20:54:36,-74.00787353515625,40.717018127441406
2016-02-19 20:54:37,-74.01045989990234,40.71842956542969
2016-02-19 20:54:38,-74.00807189941406,40.71461868286133
2016-02-19 20:54:39,-74.00853729248048,40.71968460083008
2016-02-19 20:54:46,-74.00424194335938,40.72101211547852
2016-02-19 20:54:59,-74.00514221191406,40.71939468383789
2016-02-19 20:55:00,-74.0055160522461,40.725563049316406
2016-02-19 20:55:01,-74.00411224365234,40.725624084472656
2016-02-19 20:55:03,-74.0052490234375,40.72233963012695
2016-02-19 20:55:06,-74.00193786621094,40.71945190429688
2016-02-19 20:55:09,-74.0099868774414,40.720848083496094
2016-02-19 20:55:17,-74.00517272949219,40.72034072875977
2016-02-19 20:55:18,-74.00265502929686,40.71630859375
2016-02-19 20:55:52,-74.01029968261719,40.719051361083984
2016-02-19 20:55:53,-74.00800323486328,40.71561050415039
2016-02-19 20:56:10,-74.00461578369139,40.724205017089844
2016-02-19 20:56:27,-74.00272369384766,40.71841049194336
2016-02-19 20:56:33,-74.0091552734375,40.71561050415039
2016-02-19 20:56:35,-74.00550842285155,40.72066879272461
2016-02-19 20:56:35,-74.00559234619139,40.72563552856445
2016-02-19 20:56:43,-74.00506591796875,40.72042846679688
2016-02-19 20:56:45,-74.003173828125,40.72324752807617
2016-02-19 20:56:45,-74.00635528564453,40.71706771850585
2016-02-19 20:56:57,-74.00314331054686,40.72507095336913
2016-02-19 20:57:09,-74.0130386352539,40.71596145629883
2016-02-19 20:57:15,-74.00879669189453,40.71907806396485
2016-02-19 20:57:18,-74.00822448730467,40.714935302734375
2016-02-19 20:57:19,-74.00374603271484,40.722599029541016
2016-02-19 20:57:23,-74.01021575927734,40.719642639160156
2016-02-19 20:57:29,-74.0032730102539,40.722991943359375
2016-02-19 20:57:31,-74.00424194335938,40.72550964355469
2016-02-19 20:58:01,-74.00687408447266,40.7161521911621
2016-02-19 20:58:01,-74.00479125976562,40.72372817993164
2016-02-19 20:58:11,-74.0049819946289,40.71903610229492
2016-02-19 20:58:29,-74.00672149658203,40.72566604614258
2016-02-19 20:58:40,-74.00943756103516,40.71480941772461
2016-02-19 20:58:46,-74.00464630126955,40.72142028808594
2016-02-19 20:58:49,-74.01074981689453,40.71465301513672
